epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,8980.47,0.76915,0.42486,0.85363,0.81145,0.67827,0.72825,0.43352,1.2009,0.63126,0.97001,0.0032185,0.0032185,0.0032185
139,9045.55,0.76985,0.42539,0.85347,0.81089,0.6776,0.72798,0.43352,1.20107,0.63109,0.96999,0.003169,0.003169,0.003169
140,9110.34,0.76455,0.42183,0.85232,0.8126,0.67739,0.7281,0.43325,1.20102,0.63119,0.96994,0.0031195,0.0031195,0.0031195
141,9175.36,0.76524,0.42172,0.8528,0.81559,0.67571,0.7282,0.43356,1.20139,0.63148,0.97002,0.00307,0.00307,0.00307
142,9240.5,0.76122,0.42077,0.85286,0.8153,0.67557,0.7278,0.43308,1.20141,0.63168,0.96994,0.0030205,0.0030205,0.0030205
143,9305.19,0.75952,0.42074,0.85287,0.81893,0.67289,0.72781,0.43283,1.20153,0.63184,0.97007,0.002971,0.002971,0.002971
144,9369.94,0.76011,0.41987,0.85153,0.82103,0.67104,0.72791,0.43276,1.20169,0.63224,0.97007,0.0029215,0.0029215,0.0029215
145,9434.86,0.75713,0.41932,0.85191,0.81975,0.67203,0.72822,0.433,1.20172,0.63224,0.97013,0.002872,0.002872,0.002872
146,9499.7,0.75603,0.41811,0.85062,0.82178,0.67038,0.7285,0.43306,1.20185,0.63224,0.97012,0.0028225,0.0028225,0.0028225
147,9564.7,0.75526,0.41655,0.85029,0.82131,0.67122,0.72881,0.4331,1.20173,0.63242,0.97006,0.002773,0.002773,0.002773
148,9629.73,0.75134,0.41548,0.84944,0.82184,0.66899,0.72797,0.43306,1.20199,0.63297,0.97009,0.0027235,0.0027235,0.0027235
149,9694.48,0.74902,0.41458,0.84975,0.82133,0.66926,0.72785,0.43327,1.20199,0.63338,0.97009,0.002674,0.002674,0.002674
150,9759.49,0.74683,0.4139,0.84868,0.82174,0.66987,0.72815,0.43343,1.20249,0.6336,0.97023,0.0026245,0.0026245,0.0026245
151,9824.32,0.74778,0.4145,0.84943,0.8237,0.66859,0.72824,0.43393,1.2023,0.63356,0.97026,0.002575,0.002575,0.002575
152,9889.09,0.74543,0.41265,0.84892,0.8248,0.66785,0.72794,0.43399,1.20232,0.63402,0.97015,0.0025255,0.0025255,0.0025255
153,9953.92,0.74233,0.41134,0.84873,0.82467,0.66827,0.72838,0.43389,1.20219,0.63399,0.97009,0.002476,0.002476,0.002476
154,10018.8,0.73981,0.40941,0.84787,0.82439,0.66886,0.72859,0.43402,1.202,0.63389,0.96999,0.0024265,0.0024265,0.0024265
155,10083.8,0.73991,0.40939,0.84815,0.82773,0.66813,0.72862,0.4337,1.20198,0.63444,0.96999,0.002377,0.002377,0.002377
156,10148.5,0.73752,0.40869,0.8481,0.82646,0.66812,0.7286,0.43405,1.20236,0.63499,0.97006,0.0023275,0.0023275,0.0023275
157,10213.5,0.73895,0.40847,0.84771,0.82882,0.6671,0.72876,0.43485,1.20258,0.63493,0.97013,0.002278,0.002278,0.002278
158,10278.5,0.73251,0.4061,0.84684,0.82794,0.66724,0.72862,0.43449,1.20256,0.6349,0.97017,0.0022285,0.0022285,0.0022285
159,10343.4,0.73231,0.40624,0.84635,0.82627,0.66818,0.72866,0.43448,1.20273,0.63536,0.9702,0.002179,0.002179,0.002179
160,10408.1,0.73503,0.40656,0.84706,0.82503,0.66894,0.72904,0.43474,1.20298,0.63611,0.9702,0.0021295,0.0021295,0.0021295
161,10473,0.72955,0.40461,0.84616,0.82634,0.66913,0.72908,0.43445,1.20295,0.63595,0.97012,0.00208,0.00208,0.00208
162,10537.9,0.72802,0.40359,0.84515,0.82477,0.6693,0.72884,0.43501,1.20263,0.63663,0.97006,0.0020305,0.0020305,0.0020305
163,10602.6,0.72708,0.40297,0.84481,0.82546,0.66928,0.72902,0.4352,1.20299,0.63709,0.97013,0.001981,0.001981,0.001981
164,10667.6,0.72518,0.4029,0.84603,0.82717,0.66811,0.72896,0.43561,1.20275,0.63693,0.9701,0.0019315,0.0019315,0.0019315
165,10732.4,0.71989,0.39903,0.84409,0.83001,0.66661,0.72887,0.43537,1.20285,0.63726,0.9701,0.001882,0.001882,0.001882
166,10797.3,0.72199,0.39946,0.84382,0.82849,0.66735,0.72889,0.43526,1.20302,0.63694,0.97016,0.0018325,0.0018325,0.0018325
167,10862,0.71574,0.39775,0.84312,0.83272,0.66601,0.72888,0.43519,1.20324,0.63756,0.97021,0.001783,0.001783,0.001783
168,10927,0.71519,0.39806,0.84281,0.83456,0.66436,0.72867,0.43569,1.20329,0.63788,0.97023,0.0017335,0.0017335,0.0017335
169,10991.9,0.71608,0.39761,0.84308,0.82944,0.66604,0.72865,0.4353,1.20303,0.63778,0.97019,0.001684,0.001684,0.001684
170,11056.6,0.71155,0.39609,0.84269,0.83225,0.66457,0.7283,0.43577,1.20298,0.63815,0.97019,0.0016345,0.0016345,0.0016345
171,11121.5,0.71485,0.39678,0.84228,0.83292,0.66397,0.72847,0.4358,1.20337,0.63905,0.97028,0.001585,0.001585,0.001585
172,11186.6,0.71326,0.39441,0.84189,0.83334,0.66382,0.7284,0.43579,1.20317,0.63906,0.97027,0.0015355,0.0015355,0.0015355
173,11251.3,0.70913,0.39296,0.84164,0.83803,0.66346,0.72854,0.4356,1.20331,0.63904,0.97026,0.001486,0.001486,0.001486
174,11316,0.71139,0.39573,0.84199,0.84048,0.66187,0.72835,0.43609,1.2034,0.6396,0.97029,0.0014365,0.0014365,0.0014365
175,11380.9,0.70594,0.39228,0.84137,0.84041,0.6611,0.7281,0.43567,1.20356,0.6399,0.97027,0.001387,0.001387,0.001387
176,11445.7,0.70536,0.39105,0.84088,0.83968,0.66099,0.72806,0.43562,1.20362,0.6402,0.97024,0.0013375,0.0013375,0.0013375
177,11510.6,0.70454,0.39079,0.84089,0.83874,0.66057,0.72802,0.43564,1.20349,0.64058,0.97024,0.001288,0.001288,0.001288
178,11575.6,0.70342,0.39076,0.84082,0.83778,0.66023,0.72778,0.43638,1.20357,0.64091,0.97019,0.0012385,0.0012385,0.0012385
179,11640.5,0.70085,0.38935,0.84126,0.83743,0.65943,0.728,0.43653,1.20352,0.6413,0.9702,0.001189,0.001189,0.001189
180,11705.3,0.69827,0.38753,0.83937,0.83703,0.65999,0.72801,0.43653,1.20398,0.64201,0.97028,0.0011395,0.0011395,0.0011395
181,11770.3,0.70006,0.3881,0.83957,0.83603,0.66068,0.72831,0.43677,1.204,0.64213,0.9702,0.00109,0.00109,0.00109
